parola,amore,aspettativa,attivazione,disgusto,dominanza,fiducia,gioia,neutrale,paura,rabbia,sorpresa,tristezza,valenza
cosmo,0.4,0.71,4.17,0.17,6.33,0.38,0.42,0.0,0.54,0.17,0.75,0.21,7.5
cosmologia,0.25,0.54,5.83,0.0,4.33,0.04,0.46,0.0,0.25,0.0,0.75,0.08,5.33
cospirazione,0.0,0.17,6.33,0.58,4.33,0.0,0.0,0.0,0.75,0.62,0.21,0.25,2.17
costa,0.33,0.33,4.17,0.0,4.5,0.25,0.42,0.0,0.17,0.04,0.17,0.46,4.67
costante,0.56,0.58,6.33,0.12,5.0,0.83,0.29,0.0,0.17,0.29,0.17,0.33,5.33
costantemente,0.29,0.33,6.0,0.12,4.83,0.29,0.29,0.0,0.17,0.29,0.17,0.33,4.83
costare,0.12,0.21,6.0,0.08,4.17,0.21,0.04,0.0,0.25,0.29,0.17,0.21,4.67
costellazione,0.54,0.54,2.67,0.0,4.17,0.25,0.83,0.0,0.0,0.0,0.62,0.12,6.33
costernazione,0.0,0.12,4.17,0.04,3.0,0.0,0.0,0.0,0.29,0.46,0.17,0.67,3.5
costituire,0.54,0.58,4.67,0.04,5.5,0.54,0.54,0.0,0.04,0.0,0.12,0.12,6.5
costituzionale,0.42,0.38,5.83,0.0,6.0,0.42,0.42,0.0,0.04,0.04,0.04,0.08,6.0
costituzione,0.57,0.79,5.33,0.17,4.33,0.67,0.46,0.0,0.5,0.21,0.38,0.21,5.67
costo,0.0,0.54,5.17,0.29,4.67,0.0,0.0,0.0,0.38,0.62,0.17,0.62,3.17
costoso,0.31,0.67,3.83,0.42,5.33,0.33,0.29,0.0,0.17,0.58,0.54,0.71,4.17
costringere,0.04,0.0,7.33,0.46,2.83,0.04,0.04,0.0,0.71,0.92,0.12,0.46,2.67
costruire,0.58,0.79,7.0,0.0,6.0,0.58,0.58,0.0,0.08,0.0,0.25,0.0,7.0
costruttivo,0.77,0.92,6.5,0.0,7.17,0.83,0.71,0.0,0.04,0.04,0.54,0.04,7.5
costruzione,0.29,0.42,3.67,0.0,6.33,0.33,0.25,0.0,0.04,0.04,0.17,0.0,6.17
costume,0.18,0.42,5.33,0.04,6.17,0.08,0.29,0.0,0.04,0.04,0.29,0.04,6.0
così,0.09,0.12,4.83,0.17,5.33,0.0,0.17,0.0,0.0,0.25,0.12,0.25,5.17
cotanto,0.0,0.42,3.0,0.12,5.83,0.0,0.0,0.0,0.17,0.17,0.12,0.08,5.33
cotone,0.29,0.0,4.5,0.0,5.67,0.29,0.29,0.0,0.04,0.0,0.0,0.04,5.5
cottura,0.29,0.79,4.17,0.33,5.67,0.17,0.42,0.0,0.29,0.08,0.29,0.17,5.5
cozza,0.18,0.04,3.67,0.17,5.0,0.08,0.29,0.0,0.17,0.12,0.12,0.17,4.67
cranio,0.0,0.0,4.17,0.04,5.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,5.0
crashare,0.0,0.0,6.67,0.0,3.5,0.0,0.0,0.0,0.33,0.83,0.17,0.33,2.83
cravatta,0.02,0.12,3.83,0.0,5.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,5.83
creare,0.88,0.96,3.67,0.0,6.5,0.83,0.92,0.0,0.04,0.0,0.75,0.0,8.5
creatività,0.83,0.54,6.17,0.0,7.0,0.71,0.96,0.0,0.0,0.0,0.62,0.04,8.5
creativo,0.58,0.67,5.83,0.0,6.17,0.42,0.75,0.0,0.04,0.0,0.79,0.0,7.33
creato,0.23,0.29,5.33,0.0,5.0,0.17,0.29,0.0,0.04,0.04,0.29,0.04,5.67
creatura,0.73,0.83,5.67,0.17,5.5,0.75,0.71,0.0,0.46,0.17,0.83,0.33,5.67
creazione,0.69,0.75,6.0,0.04,6.0,0.54,0.83,0.0,0.21,0.08,0.75,0.17,7.17
credente,0.29,0.25,4.67,0.0,4.17,0.33,0.25,0.0,0.04,0.17,0.08,0.08,5.5
credere,0.73,0.42,4.83,0.04,5.67,0.79,0.67,0.0,0.17,0.12,0.25,0.17,6.83
credibile,0.79,0.79,3.83,0.0,5.17,0.88,0.71,0.0,0.12,0.08,0.08,0.12,7.0
credito,0.4,0.67,5.17,0.0,5.83,0.46,0.33,0.0,0.29,0.0,0.42,0.04,6.17
creditore,0.15,0.54,7.17,0.25,3.17,0.17,0.12,0.0,0.21,0.33,0.12,0.33,2.67
crema,0.4,0.75,2.5,0.0,5.33,0.17,0.62,0.0,0.0,0.0,0.46,0.0,7.67
crescente,0.32,0.38,5.0,0.0,5.17,0.21,0.42,0.0,0.04,0.04,0.17,0.0,5.67
crescere,0.85,0.96,6.67,0.0,6.33,0.79,0.92,0.0,0.21,0.0,0.71,0.21,8.0
crescita,0.57,0.58,5.0,0.08,4.33,0.46,0.67,0.0,0.29,0.25,0.5,0.21,6.17
cretina,0.04,0.17,5.17,0.58,4.83,0.04,0.04,0.0,0.17,0.75,0.29,0.33,3.67
cretino,0.04,0.21,5.33,0.42,5.0,0.04,0.04,0.0,0.17,0.71,0.08,0.71,4.0
criminale,0.0,0.0,7.17,0.92,3.33,0.0,0.0,0.0,0.83,0.96,0.46,0.71,1.33
criminalizzazione,0.04,0.0,5.67,0.75,3.67,0.08,0.0,0.0,0.71,0.83,0.04,0.71,2.5
crimine,0.0,0.04,7.67,0.96,2.17,0.0,0.0,0.0,0.92,1.0,0.62,0.83,2.5
crisi,0.0,0.0,6.0,0.46,3.0,0.0,0.0,0.0,0.92,0.83,0.12,0.83,2.5
cristallo,0.25,0.08,4.5,0.0,6.83,0.04,0.46,0.0,0.0,0.0,0.17,0.0,5.5
cristianesimo,0.21,0.29,4.67,0.29,6.0,0.21,0.21,0.0,0.12,0.25,0.04,0.17,5.0
cristiano,0.32,0.46,4.5,0.04,5.5,0.46,0.17,0.0,0.12,0.04,0.17,0.04,5.67
criterio,0.0,0.21,5.0,0.0,5.0,0.0,0.0,0.0,0.12,0.04,0.0,0.04,4.33
critica,0.19,0.54,6.17,0.29,4.33,0.17,0.21,0.0,0.33,0.33,0.42,0.42,4.83
criticare,0.19,0.29,6.83,0.17,4.17,0.21,0.17,0.0,0.21,0.58,0.12,0.29,3.83
critico,0.43,0.5,7.5,0.25,4.0,0.58,0.29,0.0,0.58,0.38,0.42,0.29,4.17
crocchetta,0.17,0.17,4.83,0.0,5.83,0.0,0.33,0.0,0.0,0.0,0.08,0.0,7.5
croce,0.0,0.0,5.33,0.08,5.17,0.0,0.0,0.0,0.08,0.08,0.0,0.08,4.5
crociata,0.04,0.17,5.0,0.67,5.17,0.04,0.04,0.0,0.58,0.75,0.04,0.42,2.67
crogiolo,0.14,0.08,4.5,0.08,5.33,0.04,0.25,0.0,0.12,0.04,0.21,0.0,5.0
crollare,0.0,0.17,5.17,0.0,1.5,0.0,0.0,0.0,0.71,0.25,0.12,0.79,2.33
cronaca,0.11,0.17,6.17,0.17,4.83,0.17,0.04,0.0,0.46,0.17,0.58,0.38,4.33
cronico,0.04,0.25,4.17,0.17,3.83,0.04,0.04,0.0,0.29,0.29,0.04,0.21,3.5
cronoprogramma,0.11,0.67,4.83,0.0,5.17,0.17,0.04,0.0,0.0,0.0,0.04,0.0,4.83
cruccio,0.0,0.21,6.33,0.17,4.33,0.0,0.0,0.0,0.58,0.62,0.0,0.67,3.17
cruda,0.02,0.08,5.33,0.42,5.0,0.04,0.0,0.0,0.25,0.12,0.08,0.04,4.83
crudele,0.02,0.04,6.5,0.92,3.5,0.04,0.0,0.0,0.83,0.96,0.04,0.92,2.33
crudo,0.04,0.08,5.5,0.42,4.67,0.04,0.04,0.0,0.21,0.17,0.21,0.17,4.17
cubetto,0.02,0.12,4.83,0.0,4.83,0.0,0.04,0.0,0.0,0.0,0.12,0.0,4.83
cubo,0.02,0.04,4.17,0.04,5.5,0.0,0.04,0.0,0.0,0.0,0.0,0.12,4.83
cucchiaio,0.12,0.12,5.17,0.0,5.67,0.12,0.12,0.0,0.0,0.0,0.04,0.0,5.17
cucciolo,0.65,0.58,5.5,0.0,7.33,0.33,0.96,0.0,0.0,0.0,0.42,0.0,8.5
cucina,0.44,0.54,5.17,0.0,4.83,0.33,0.54,0.0,0.04,0.08,0.42,0.08,6.67
cucinare,0.55,0.71,5.83,0.0,7.0,0.17,0.92,0.0,0.04,0.04,0.5,0.0,7.33
cucire,0.33,0.54,4.83,0.0,5.5,0.29,0.38,0.0,0.0,0.04,0.04,0.0,5.67
cuffia,0.14,0.17,5.33,0.0,5.67,0.0,0.29,0.0,0.0,0.04,0.08,0.12,5.33
cugino,0.5,0.17,4.83,0.0,4.67,0.5,0.5,0.0,0.0,0.0,0.17,0.0,6.0
culo,0.47,0.75,4.17,0.17,5.0,0.33,0.62,0.0,0.08,0.04,0.67,0.04,6.67
culto,0.52,0.58,5.0,0.17,2.67,0.62,0.42,0.0,0.33,0.04,0.12,0.17,4.67
cultura,0.81,0.67,4.67,0.04,6.33,0.83,0.79,0.0,0.04,0.17,0.5,0.25,8.0
culturale,0.56,0.67,5.83,0.0,5.83,0.62,0.5,0.0,0.0,0.0,0.54,0.12,7.17
cuocere,0.56,0.58,2.33,0.04,6.17,0.58,0.54,0.0,0.0,0.04,0.33,0.04,6.33
cuoco,0.65,0.58,3.17,0.0,6.17,0.62,0.67,0.0,0.0,0.0,0.46,0.0,6.83
cuore,0.48,0.08,6.83,0.04,5.67,0.21,0.75,0.0,0.25,0.29,0.04,0.58,5.83
cupa,0.0,0.04,4.83,0.04,4.67,0.0,0.0,0.0,0.33,0.17,0.04,0.83,3.33
cupezza,0.02,0.0,5.0,0.08,4.17,0.04,0.0,0.0,0.38,0.08,0.08,0.83,2.17
cupo,0.12,0.17,4.83,0.17,3.33,0.21,0.04,0.0,0.83,0.38,0.04,0.92,3.0
cura,0.6,0.54,7.0,0.0,5.83,0.75,0.46,0.0,0.17,0.0,0.08,0.08,7.33
curabile,0.65,0.79,4.5,0.0,6.0,0.58,0.71,0.0,0.38,0.12,0.21,0.25,5.33
curare,0.92,0.83,7.33,0.08,5.67,0.92,0.92,0.0,0.83,0.21,0.38,0.75,5.33
curiosare,0.25,0.54,6.33,0.04,5.0,0.08,0.42,0.0,0.17,0.04,0.71,0.08,6.17
curiosità,0.58,0.79,7.33,0.04,6.0,0.25,0.92,0.0,0.29,0.0,0.54,0.0,7.5
curioso,0.4,0.58,5.33,0.0,6.67,0.33,0.46,0.0,0.21,0.17,0.71,0.0,7.33
curricula,0.25,0.46,5.67,0.04,4.0,0.21,0.29,0.0,0.29,0.17,0.12,0.17,4.67
curriculum,0.29,0.83,5.0,0.12,5.67,0.42,0.17,0.0,0.25,0.12,0.21,0.17,6.5
curva,0.27,0.33,4.83,0.25,5.17,0.29,0.25,0.0,0.5,0.25,0.29,0.25,5.17
curvare,0.04,0.17,5.0,0.04,5.0,0.04,0.04,0.0,0.04,0.17,0.08,0.04,5.0
curvo,0.0,0.08,2.67,0.0,5.17,0.0,0.0,0.0,0.04,0.0,0.0,0.0,4.83
cuscino,0.48,0.25,3.17,0.0,6.33,0.25,0.71,0.0,0.04,0.12,0.25,0.29,5.83
custode,0.48,0.46,4.33,0.0,5.0,0.79,0.17,0.0,0.04,0.0,0.04,0.0,5.67
custodia,0.12,0.29,5.0,0.04,5.83,0.25,0.0,0.0,0.17,0.08,0.04,0.04,4.83
custodire,0.35,0.38,3.83,0.0,6.33,0.46,0.25,0.0,0.17,0.0,0.21,0.04,6.67
cyberspazio,0.25,0.5,4.83,0.04,4.5,0.08,0.42,0.0,0.42,0.04,0.42,0.08,5.17
cyborg,0.04,0.25,5.5,0.21,4.33,0.08,0.0,0.0,0.33,0.12,0.08,0.38,4.5
dado,0.06,0.12,4.5,0.04,5.5,0.0,0.12,0.0,0.04,0.0,0.17,0.0,5.5
damerino,0.1,0.25,4.67,0.08,4.83,0.08,0.12,0.0,0.0,0.04,0.0,0.08,4.5
dance,0.52,0.67,7.0,0.04,7.5,0.21,0.83,0.0,0.17,0.04,0.54,0.04,7.0
danneggiare,0.04,0.12,5.5,0.67,2.5,0.04,0.04,0.0,0.75,0.92,0.04,0.79,2.0
dannoso,0.0,0.04,6.0,0.38,5.0,0.0,0.0,0.0,0.46,0.46,0.04,0.17,3.67
danzante,0.63,0.62,6.33,0.0,7.17,0.38,0.88,0.0,0.12,0.08,0.58,0.04,7.17
dare,0.57,0.71,5.33,0.0,6.33,0.46,0.67,0.0,0.04,0.0,0.67,0.21,6.0
dark,0.08,0.04,5.5,0.29,4.17,0.04,0.12,0.0,0.54,0.42,0.17,0.42,3.17
datato,0.1,0.21,4.17,0.25,6.0,0.0,0.21,0.0,0.0,0.17,0.17,0.58,4.17
davanti,0.4,0.54,5.83,0.04,7.0,0.25,0.54,0.0,0.12,0.0,0.25,0.08,6.0
debole,0.04,0.17,4.83,0.58,2.83,0.08,0.0,0.0,0.83,0.83,0.0,0.83,3.17
debuttare,0.69,0.92,7.5,0.0,6.17,0.67,0.71,0.0,0.83,0.04,0.67,0.0,6.33
decaduto,0.04,0.17,5.33,0.29,3.33,0.04,0.04,0.0,0.29,0.58,0.29,0.79,3.5
decennio,0.32,0.54,4.5,0.21,4.83,0.38,0.25,0.0,0.58,0.29,0.29,0.33,5.17
decenza,0.17,0.25,3.83,0.25,5.0,0.17,0.17,0.0,0.04,0.17,0.12,0.04,5.33
decollare,0.6,0.71,7.0,0.0,6.0,0.29,0.92,0.0,0.46,0.0,0.58,0.04,7.33
decoroso,0.35,0.54,4.67,0.17,5.5,0.38,0.33,0.0,0.17,0.12,0.04,0.25,6.0
decremento,0.12,0.29,5.33,0.17,4.83,0.21,0.04,0.0,0.79,0.42,0.21,0.75,3.5
deduzione,0.48,0.42,5.0,0.0,5.33,0.79,0.17,0.0,0.0,0.0,0.29,0.0,5.5
definitivo,0.28,0.58,4.33,0.04,4.83,0.38,0.17,0.0,0.58,0.29,0.33,0.33,3.83
deformità,0.04,0.04,4.5,0.25,5.17,0.04,0.04,0.0,0.21,0.29,0.54,0.67,3.5
degna,0.29,0.5,4.67,0.08,5.33,0.17,0.42,0.0,0.17,0.29,0.25,0.42,5.33
delegato,0.09,0.54,4.0,0.0,5.0,0.17,0.0,0.0,0.0,0.0,0.04,0.12,4.83
delicata,0.25,0.08,3.5,0.0,5.0,0.21,0.29,0.0,0.04,0.0,0.04,0.04,5.67
delicatamente,0.55,0.29,4.67,0.0,4.83,0.42,0.67,0.0,0.04,0.0,0.17,0.0,7.17
delicatezza,0.43,0.21,4.33,0.0,5.83,0.29,0.58,0.0,0.04,0.0,0.08,0.04,6.17
delicato,0.44,0.21,4.17,0.0,4.83,0.5,0.38,0.0,0.08,0.0,0.08,0.04,5.83
delinquenza,0.02,0.0,6.17,0.79,3.17,0.04,0.0,0.0,0.92,0.88,0.12,0.83,3.33
delirante,0.0,0.12,6.17,0.08,4.0,0.0,0.0,0.0,0.71,0.5,0.33,0.58,3.17
delizia,0.67,0.67,6.17,0.0,6.0,0.5,0.83,0.0,0.0,0.0,0.67,0.0,7.0
deliziare,0.62,0.92,6.67,0.0,6.5,0.46,0.79,0.0,0.0,0.0,0.67,0.0,7.17
deliziato,0.57,0.38,5.83,0.0,6.0,0.21,0.92,0.0,0.04,0.0,0.58,0.04,7.33
deludere,0.14,0.29,5.67,0.08,3.33,0.29,0.0,0.0,0.29,0.42,0.33,0.92,2.83
delusione,0.02,0.17,5.67,0.33,3.17,0.04,0.0,0.0,0.17,0.83,0.17,1.0,1.83
demoniaco,0.02,0.04,6.17,0.54,3.67,0.0,0.04,0.0,0.79,0.5,0.17,0.5,3.33
demonico,0.0,0.0,6.83,0.67,3.0,0.0,0.0,0.0,0.67,0.67,0.08,0.33,2.67
demonizzare,0.0,0.08,5.0,0.58,5.0,0.0,0.0,0.0,0.62,0.62,0.17,0.21,3.33
demoralizzare,0.0,0.04,6.67,0.12,2.17,0.0,0.0,0.0,0.58,0.25,0.0,0.83,2.0
demoralizzato,0.06,0.29,5.67,0.46,2.67,0.08,0.04,0.0,0.54,0.67,0.17,0.96,2.5
demoralizzazione,0.02,0.17,5.5,0.21,2.67,0.04,0.0,0.0,0.25,0.29,0.04,0.92,2.17
denigrazione,0.0,0.0,6.5,0.25,4.33,0.0,0.0,0.0,0.33,0.79,0.04,0.58,2.67
depauperamento,0.0,0.04,6.33,0.5,4.5,0.0,0.0,0.0,0.67,0.67,0.0,0.67,2.17
depotenziamento,0.04,0.17,4.83,0.08,4.17,0.04,0.04,0.0,0.33,0.25,0.17,0.21,4.33
deprecabile,0.0,0.0,4.67,0.42,4.83,0.0,0.0,0.0,0.29,0.5,0.0,0.38,2.83
depressione,0.0,0.04,6.67,0.17,2.17,0.0,0.0,0.0,0.92,0.29,0.04,1.0,1.0
depressiva,0.06,0.25,5.17,0.08,2.83,0.12,0.0,0.0,0.71,0.42,0.12,0.96,1.5
depresso,0.0,0.04,6.33,0.25,4.17,0.0,0.0,0.0,0.83,0.79,0.0,1.0,1.33
deprimente,0.02,0.04,6.33,0.5,3.17,0.04,0.0,0.0,0.62,0.75,0.0,0.96,2.67
deragliamento,0.0,0.17,6.17,0.0,4.5,0.0,0.0,0.0,0.67,0.46,0.17,0.71,3.83
deridere,0.11,0.21,6.5,0.79,3.17,0.17,0.04,0.0,0.29,0.79,0.08,0.62,2.17
descrizione,0.33,0.5,3.17,0.17,5.67,0.42,0.25,0.0,0.12,0.04,0.12,0.12,6.17
desiderando,0.6,1.0,6.83,0.04,6.0,0.67,0.54,0.0,0.33,0.17,0.46,0.42,6.67
desiderare,0.52,0.79,6.5,0.04,5.67,0.33,0.71,0.0,0.17,0.25,0.42,0.12,5.67
desiderio,0.75,0.96,6.67,0.0,5.83,0.79,0.71,0.0,0.08,0.04,0.71,0.04,7.0
desidero,0.5,0.88,6.17,0.04,6.0,0.33,0.67,0.0,0.17,0.17,0.67,0.17,8.0
desktop,0.02,0.12,5.83,0.17,4.67,0.04,0.0,0.0,0.04,0.17,0.17,0.04,4.0
desolato,0.0,0.0,5.33,0.17,4.33,0.0,0.0,0.0,0.42,0.29,0.0,0.83,3.67
desolazione,0.02,0.04,4.0,0.42,3.17,0.04,0.0,0.0,0.92,0.38,0.12,0.96,2.0
destinato,0.35,0.29,3.67,0.0,5.33,0.29,0.42,0.0,0.42,0.08,0.29,0.08,5.83
desto,0.23,0.17,4.83,0.0,5.33,0.17,0.29,0.0,0.17,0.12,0.38,0.0,5.33
destrutturazione,0.21,0.54,5.67,0.17,5.33,0.25,0.17,0.0,0.25,0.17,0.58,0.29,4.33
detenere,0.38,0.25,5.83,0.29,7.0,0.33,0.42,0.0,0.54,0.29,0.04,0.29,6.0
deteriorato,0.0,0.17,4.33,0.46,4.17,0.0,0.0,0.0,0.21,0.29,0.17,0.54,3.5
determinante,0.4,0.54,5.83,0.0,5.0,0.54,0.25,0.0,0.25,0.17,0.0,0.25,5.0
determinato,0.75,0.79,5.17,0.21,6.0,0.79,0.71,0.0,0.54,0.62,0.54,0.08,7.0
detestabile,0.02,0.12,5.83,0.58,4.67,0.04,0.0,0.0,0.04,0.71,0.12,0.12,3.67
detestare,0.0,0.17,7.0,0.79,5.17,0.0,0.0,0.0,0.38,1.0,0.17,0.29,2.0
detrarre,0.23,0.29,4.5,0.04,4.67,0.21,0.25,0.0,0.17,0.25,0.04,0.21,4.67
detto,0.08,0.0,3.33,0.0,5.17,0.12,0.04,0.0,0.0,0.0,0.0,0.0,5.0
devastato,0.0,0.0,6.0,0.38,3.5,0.0,0.0,0.0,0.58,0.67,0.08,0.75,2.33
deviante,0.0,0.17,5.17,0.17,4.33,0.0,0.0,0.0,0.08,0.25,0.21,0.08,4.33
devozione,0.4,0.54,5.0,0.0,5.83,0.62,0.17,0.0,0.04,0.0,0.04,0.04,5.83
di_facili_costumi,0.06,0.08,6.33,0.42,4.33,0.12,0.0,0.0,0.08,0.58,0.08,0.62,2.83
dialogo,0.54,0.67,4.33,0.04,6.0,0.54,0.54,0.0,0.04,0.04,0.54,0.12,6.67
diarrea,0.0,0.0,5.0,0.96,3.33,0.0,0.0,0.0,0.54,0.83,0.17,0.58,2.33
diavoletto,0.06,0.17,5.17,0.29,5.33,0.0,0.12,0.0,0.42,0.58,0.25,0.0,5.0
dibattito,0.29,0.58,6.83,0.17,6.33,0.29,0.29,0.0,0.25,0.33,0.29,0.08,6.0
dietro,0.02,0.17,4.33,0.0,3.5,0.04,0.0,0.0,0.17,0.08,0.08,0.08,4.5
difendere,0.16,0.46,6.67,0.0,5.67,0.29,0.04,0.0,0.42,0.12,0.04,0.04,5.67
difensore,0.69,0.96,5.33,0.04,5.0,0.92,0.46,0.0,0.21,0.29,0.17,0.08,6.33
difesa,0.38,0.33,4.83,0.0,4.33,0.33,0.42,0.0,0.08,0.0,0.17,0.0,6.17
difeso,0.33,0.04,5.5,0.0,5.0,0.42,0.25,0.0,0.25,0.04,0.0,0.21,4.5
difetto,0.04,0.04,5.17,0.08,5.0,0.04,0.04,0.0,0.04,0.17,0.21,0.17,4.33
differente,0.12,0.04,4.5,0.0,5.17,0.17,0.08,0.0,0.08,0.0,0.17,0.04,5.17
differenza,0.21,0.33,4.5,0.08,5.5,0.17,0.25,0.0,0.33,0.17,0.29,0.21,5.17
difficile,0.12,0.17,5.33,0.17,4.33,0.21,0.04,0.0,0.46,0.33,0.12,0.25,3.33
difficilmente,0.0,0.25,5.0,0.04,3.33,0.0,0.0,0.0,0.17,0.08,0.0,0.17,3.33
difficoltà,0.02,0.25,5.17,0.04,4.83,0.04,0.0,0.0,0.54,0.42,0.0,0.33,4.5
diffidare,0.2,0.17,5.33,0.25,5.0,0.29,0.12,0.0,0.33,0.33,0.17,0.29,3.67
diffondere,0.79,0.83,5.33,0.21,5.83,0.79,0.79,0.0,0.33,0.33,0.46,0.42,6.5
diffusione,0.17,0.17,4.67,0.17,4.5,0.17,0.17,0.0,0.33,0.17,0.17,0.25,4.83
diffuso,0.02,0.29,4.67,0.12,4.17,0.0,0.04,0.0,0.17,0.04,0.04,0.08,4.67
digitale,0.29,0.46,4.67,0.08,4.0,0.5,0.08,0.0,0.29,0.25,0.25,0.17,4.5
dignità,0.5,0.62,6.5,0.17,6.17,0.54,0.46,0.0,0.21,0.33,0.42,0.17,6.17
digrignare,0.09,0.29,7.0,0.21,4.83,0.17,0.0,0.0,0.42,1.0,0.42,0.42,3.67
dileggiare,0.17,0.17,5.67,0.29,5.0,0.17,0.17,0.0,0.04,0.33,0.21,0.33,4.5
diligente,0.58,0.75,3.83,0.0,6.33,0.75,0.42,0.0,0.0,0.0,0.17,0.0,6.5
dimagrimento,0.6,0.71,6.67,0.17,6.83,0.54,0.67,0.0,0.17,0.17,0.42,0.21,5.83
dimensione,0.21,0.67,5.0,0.17,4.83,0.21,0.21,0.0,0.46,0.08,0.33,0.17,5.17
dimenticare,0.15,0.21,4.83,0.21,5.67,0.17,0.12,0.0,0.62,0.67,0.17,0.71,3.5
dimettere,0.17,0.29,5.83,0.04,3.83,0.17,0.17,0.0,0.17,0.08,0.21,0.21,5.33
dimezzamento,0.0,0.04,5.5,0.17,4.0,0.0,0.0,0.0,0.17,0.17,0.04,0.29,3.17
diminuire,0.0,0.04,4.83,0.17,4.5,0.0,0.0,0.0,0.08,0.25,0.25,0.42,3.67
dimostrare,0.44,0.92,6.0,0.04,5.5,0.71,0.17,0.0,0.17,0.25,0.17,0.08,6.0
dimostrazione,0.5,0.58,5.33,0.12,5.67,0.58,0.42,0.0,0.17,0.17,0.38,0.25,5.5
dinamica,0.67,0.71,5.67,0.0,6.5,0.67,0.67,0.0,0.04,0.04,0.08,0.0,7.0
dinamico,0.48,0.21,6.83,0.0,6.67,0.38,0.58,0.0,0.0,0.0,0.42,0.0,7.17
dintorno,0.02,0.08,4.5,0.0,4.83,0.0,0.04,0.0,0.04,0.0,0.08,0.0,5.17
dio,0.42,0.46,4.5,0.0,4.17,0.67,0.17,0.0,0.17,0.08,0.04,0.0,4.67
dipartimento,0.06,0.17,4.5,0.0,5.0,0.08,0.04,0.0,0.04,0.04,0.12,0.12,4.5
dipartita,0.02,0.04,6.0,0.0,3.0,0.04,0.0,0.0,0.79,0.5,0.33,1.0,2.33
dipendente,0.42,0.54,5.83,0.12,5.5,0.5,0.33,0.0,0.29,0.5,0.12,0.21,5.5
dipendenza,0.29,0.46,5.33,0.25,5.0,0.42,0.17,0.0,0.71,0.42,0.42,0.54,4.33
dipendere,0.25,0.33,5.5,0.54,5.33,0.33,0.17,0.0,0.62,0.71,0.21,0.71,3.33
dipingere,0.45,0.58,5.17,0.17,5.67,0.08,0.83,0.0,0.29,0.29,0.46,0.5,6.83
dipinto,0.52,0.42,5.33,0.04,5.17,0.29,0.75,0.0,0.08,0.04,0.42,0.33,6.33
diploma,0.4,0.75,5.17,0.04,5.33,0.17,0.62,0.0,0.46,0.25,0.25,0.42,6.5
diplomatico,0.44,0.33,5.33,0.0,5.83,0.71,0.17,0.0,0.0,0.0,0.04,0.0,6.17
dire,0.25,0.38,3.17,0.21,5.33,0.29,0.21,0.0,0.21,0.21,0.21,0.21,5.17
diretta,0.33,0.42,5.67,0.04,5.67,0.33,0.33,0.0,0.0,0.12,0.17,0.17,5.33
direttamente,0.47,0.71,5.5,0.17,6.83,0.62,0.33,0.0,0.29,0.17,0.42,0.0,5.5
diretto,0.31,0.29,6.0,0.12,6.83,0.5,0.12,0.0,0.42,0.42,0.58,0.12,5.17
direttore,0.12,0.29,5.67,0.29,4.0,0.21,0.04,0.0,0.5,0.29,0.0,0.29,4.5
direzione,0.46,0.71,4.0,0.17,5.0,0.46,0.46,0.0,0.58,0.29,0.67,0.25,5.33
dirigente,0.14,0.04,4.33,0.08,4.83,0.21,0.08,0.0,0.17,0.17,0.0,0.0,5.0
dirigere,0.38,0.42,6.5,0.0,6.17,0.42,0.33,0.0,0.04,0.0,0.25,0.0,6.0
diritto,0.58,0.96,6.67,0.0,6.67,0.62,0.54,0.0,0.08,0.12,0.04,0.0,7.0
diroccato,0.04,0.04,5.0,0.17,5.17,0.04,0.04,0.0,0.58,0.25,0.08,0.58,3.0
disagio,0.08,0.38,4.17,0.58,4.17,0.08,0.08,0.0,0.79,0.42,0.29,0.54,3.17
disarcionare,0.08,0.17,5.5,0.0,4.83,0.12,0.04,0.0,0.67,0.38,0.42,0.29,3.33
disastro,0.0,0.17,7.17,0.42,2.17,0.0,0.0,0.0,0.79,0.71,0.17,0.92,1.5
discapito,0.06,0.04,3.0,0.58,2.83,0.08,0.04,0.0,0.42,0.71,0.08,0.83,2.67
discarica,0.12,0.12,5.0,0.79,4.83,0.21,0.04,0.0,0.17,0.33,0.0,0.33,4.17
discepolo,0.29,0.42,2.17,0.25,2.83,0.33,0.25,0.0,0.25,0.25,0.25,0.21,4.33
discernimento,0.21,0.67,4.67,0.08,5.67,0.25,0.17,0.0,0.21,0.08,0.17,0.04,5.5
discesa,0.17,0.33,4.33,0.04,4.67,0.17,0.17,0.0,0.21,0.21,0.17,0.42,5.67
disciplina,0.31,0.33,7.0,0.17,5.33,0.33,0.29,0.0,0.42,0.42,0.04,0.21,5.0
disco,0.44,0.29,7.33,0.0,5.17,0.21,0.67,0.0,0.04,0.0,0.54,0.04,7.67
discolpa,0.29,0.29,4.5,0.17,4.17,0.42,0.17,0.0,0.25,0.38,0.17,0.17,4.17
disconoscere,0.12,0.21,5.83,0.33,4.33,0.17,0.08,0.0,0.42,0.71,0.33,0.75,3.5
discontinuità,0.02,0.21,5.33,0.08,2.83,0.04,0.0,0.0,0.54,0.33,0.08,0.54,3.83
discontinuo,0.12,0.42,4.5,0.25,4.67,0.04,0.21,0.0,0.21,0.25,0.08,0.42,4.83
discorde,0.02,0.04,6.17,0.08,5.33,0.04,0.0,0.0,0.04,0.5,0.08,0.17,3.5
